nohup: ignoring input
npm notice run authority-extraction@0.1.0 wikidata:extract-crosswalk
  scanned 49,000,000 … matched 2,159,159
  scanned 49,500,000 … matched 2,160,878
  scanned 50,000,000 … matched 2,165,236
  scanned 50,500,000 … matched 2,202,696
  scanned 51,000,000 … matched 2,206,450
  scanned 51,500,000 … matched 2,223,687
  scanned 52,000,000 … matched 2,234,738
  scanned 52,500,000 … matched 2,257,334
  scanned 53,000,000 … matched 2,259,460
  scanned 53,500,000 … matched 2,260,991
  scanned 54,000,000 … matched 2,263,243
  scanned 54,500,000 … matched 2,264,650
  scanned 55,000,000 … matched 2,267,977
  scanned 55,500,000 … matched 2,272,729
  scanned 56,000,000 … matched 2,314,010
  scanned 56,500,000 … matched 2,337,450
  scanned 57,000,000 … matched 2,353,771
  scanned 57,500,000 … matched 2,389,064
  scanned 58,000,000 … matched 2,407,702
  scanned 58,500,000 … matched 2,415,462
  scanned 59,000,000 … matched 2,427,060
  scanned 59,500,000 … matched 2,436,805
  scanned 60,000,000 … matched 2,503,113
  scanned 60,500,000 … matched 2,573,489
  scanned 61,000,000 … matched 2,676,032
  scanned 61,500,000 … matched 2,717,405
  scanned 62,000,000 … matched 2,744,274
  scanned 62,500,000 … matched 2,770,678
  scanned 63,000,000 … matched 2,787,393
  scanned 63,500,000 … matched 2,796,660
  scanned 64,000,000 … matched 2,801,436
  scanned 64,500,000 … matched 2,802,733
  scanned 65,000,000 … matched 2,805,668
  scanned 65,500,000 … matched 2,843,348
  scanned 66,000,000 … matched 2,847,932
  scanned 66,500,000 … matched 2,862,745
  scanned 67,000,000 … matched 2,873,499
  scanned 67,500,000 … matched 2,883,676
  scanned 68,000,000 … matched 2,901,860
  scanned 68,500,000 … matched 2,903,250
  scanned 69,000,000 … matched 2,905,064
  scanned 69,500,000 … matched 2,906,992
  scanned 70,000,000 … matched 2,909,978
  scanned 70,500,000 … matched 2,914,383
  scanned 71,000,000 … matched 2,923,833
  scanned 71,500,000 … matched 2,977,744
  scanned 72,000,000 … matched 2,992,178
  scanned 72,500,000 … matched 3,008,187
  scanned 73,000,000 … matched 3,047,844
  scanned 73,500,000 … matched 3,056,781
  scanned 74,000,000 … matched 3,067,996
  scanned 74,500,000 … matched 3,071,913
  scanned 75,000,000 … matched 3,144,304
  scanned 75,500,000 … matched 3,212,995
  scanned 76,000,000 … matched 3,307,030
  scanned 76,500,000 … matched 3,359,408
  scanned 77,000,000 … matched 3,387,609
  scanned 77,500,000 … matched 3,409,291
  scanned 78,000,000 … matched 3,428,863
  scanned 78,500,000 … matched 3,437,037
  scanned 79,000,000 … matched 3,444,533
  scanned 79,500,000 … matched 3,445,831
  scanned 80,000,000 … matched 3,447,998
  scanned 80,500,000 … matched 3,464,921
  scanned 81,000,000 … matched 3,490,593
  scanned 81,500,000 … matched 3,495,225
  scanned 82,000,000 … matched 3,514,069
  scanned 82,500,000 … matched 3,525,061
  scanned 83,000,000 … matched 3,545,156
  scanned 83,500,000 … matched 3,546,338
  scanned 84,000,000 … matched 3,548,267
  scanned 84,500,000 … matched 3,550,058
  scanned 85,000,000 … matched 3,552,016
  scanned 85,500,000 … matched 3,556,931
  scanned 86,000,000 … matched 3,563,062
  scanned 86,500,000 … matched 3,618,932
  scanned 87,000,000 … matched 3,630,691
  scanned 87,500,000 … matched 3,648,277
  scanned 88,000,000 … matched 3,689,941
  scanned 88,500,000 … matched 3,696,278
  scanned 89,000,000 … matched 3,708,385
  scanned 89,500,000 … matched 3,714,375
  scanned 90,000,000 … matched 3,785,423
  scanned 90,500,000 … matched 3,820,559
  scanned 91,000,000 … matched 3,930,586
  scanned 91,500,000 … matched 3,991,712
  scanned 92,000,000 … matched 4,024,178
  scanned 92,500,000 … matched 4,047,983
  scanned 93,000,000 … matched 4,069,814
  scanned 93,500,000 … matched 4,077,653
  scanned 94,000,000 … matched 4,087,439
  scanned 94,500,000 … matched 4,088,774
  scanned 95,000,000 … matched 4,090,740
  scanned 95,500,000 … matched 4,095,210
  scanned 96,000,000 … matched 4,133,032
  scanned 96,500,000 … matched 4,137,359
  scanned 97,000,000 … matched 4,155,816
  scanned 97,500,000 … matched 4,166,533
  scanned 98,000,000 … matched 4,188,178
  scanned 98,500,000 … matched 4,189,444
  scanned 99,000,000 … matched 4,191,227
  scanned 99,500,000 … matched 4,193,272
  scanned 100,000,000 … matched 4,194,880
  scanned 100,500,000 … matched 4,199,202
  scanned 101,000,000 … matched 4,203,365
  scanned 101,500,000 … matched 4,260,555
  scanned 102,000,000 … matched 4,271,480
  scanned 102,500,000 … matched 4,286,572
  scanned 103,000,000 … matched 4,331,792
  scanned 103,500,000 … matched 4,338,908
  scanned 104,000,000 … matched 4,347,239
  scanned 104,500,000 … matched 4,357,146
  scanned 105,000,000 … matched 4,371,559
  scanned 105,500,000 … matched 4,456,713
  scanned 106,000,000 … matched 4,544,417
  scanned 106,500,000 … matched 4,620,448
  scanned 107,000,000 … matched 4,651,021
  scanned 107,500,000 … matched 4,678,622
  scanned 108,000,000 … matched 4,706,236
  scanned 108,500,000 … matched 4,718,801
  scanned 109,000,000 … matched 4,728,986
  scanned 109,500,000 … matched 4,731,229
  scanned 110,000,000 … matched 4,733,004
  scanned 110,500,000 … matched 4,737,478
  scanned 111,000,000 … matched 4,775,285
  scanned 111,500,000 … matched 4,778,987
  scanned 112,000,000 … matched 4,796,347
  scanned 112,500,000 … matched 4,807,352
  scanned 113,000,000 … matched 4,829,947
  scanned 113,500,000 … matched 4,832,165
  scanned 114,000,000 … matched 4,833,676
  scanned 114,500,000 … matched 4,835,879
  scanned 115,000,000 … matched 4,837,320
  scanned 115,500,000 … matched 4,840,749
  scanned 116,000,000 … matched 4,845,432
  scanned 116,500,000 … matched 4,893,711
  scanned 117,000,000 … matched 4,910,396
  scanned 117,500,000 … matched 4,926,431
  scanned 118,000,000 … matched 4,962,232
  scanned 118,500,000 … matched 4,980,817
  scanned 119,000,000 … matched 4,988,459
  scanned 119,500,000 … matched 5,000,176
  scanned 120,000,000 … matched 5,010,174
  scanned 120,500,000 … matched 5,076,785
Crosswalk extract complete.
  viaf: 4,678,793 pairs (13,627 ambiguous skipped)
  cbdb: 415,843 pairs (5 ambiguous skipped)
  ndl: 179,307 pairs (191 ambiguous skipped)
  dila: 2,859 pairs (1 ambiguous skipped)
  bdrc: 23,266 pairs (1,658 ambiguous skipped)
  rows: 5,143,842 → /home/d/Python/ljb/authoritypacks/packs/wikidata/wikidata-authority-crosswalk.ndjson
